,Topic,question,Followers,Answers,Ratio,Engagement potential,Last action,Parsed time,Question link,answers
0,SRM-Institute-of-Science-and-Technology-1,"Which is the best college for a B.Pharm, Chettinad or SRM?",1,1,1/1,No,Followed,2020-08-02,https://www.quora.com/Which-is-the-best-college-for-a-B-Pharm-Chettinad-or-SRM,Both are equally good. 
1,SRM-Institute-of-Science-and-Technology-1,Can I secure CSE at SRM main campus with 87% in boards?,3,1,3/1,No,Followed,2020-08-02,https://www.quora.com/Can-I-secure-CSE-at-SRM-main-campus-with-87-in-boards,"If you want to join main campus, kattankulathur campus,chennai. You should be within 5–6 k rank for cse.If you want to join any other campus,i.e. ramapuram, vadapalani, ghaziabad, rank don't matter there like that, even if you get 45–55k rank, you'll get your desired branch in thise campuses.But try to get into main camous only, if not cse, you could get IT or software trades. (Just a suggestion, i don't know if you are also one of those who just want cse or nothing) Best of luck. May the odds be ever in your favour. "
2,SRM-Institute-of-Science-and-Technology-1,Will I get a BTech in computer science at SRM in 2020? I secured 91.33 percentage aggregate in PCM 12th boards.,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/Will-I-get-a-BTech-in-computer-science-at-SRM-in-2020-I-secured-91-33-percentage-aggregate-in-PCM-12th-boards,"Yes, you can get btech CSE at SRM main campus. This time admission is based upon board percentage due to cancellation of SRMJEEE. And as you have scored maximum in 12th there's fair chance of getting CSE for you at main campus. Best of luck. "
3,SRM-Institute-of-Science-and-Technology-1,Will I get a BTech in computer science at SRM in 2020? I secured 91.33 percentage aggregate in PCM 12th boards.,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/Will-I-get-a-BTech-in-computer-science-at-SRM-in-2020-I-secured-91-33-percentage-aggregate-in-PCM-12th-boards,Do you think this platform is for announcing results? Which planet have you escaped from? 
4,SRM-Institute-of-Science-and-Technology-1,When will the VIT and SRM rank list come out?,7,2,7/2,No,Followed,2020-08-02,https://www.quora.com/When-will-the-VIT-and-SRM-rank-list-come-out,"Hi, Actually your question is good and many of the student might be thinking the same As VIT has already announced that on 10th AUG they are declaring the result and admisson will be done on the basis on both 12th board percentage and JEE. where as SRM has not yet announced anything regarding this but 90% chances are there that SRM will also declared the result with in a week after VIT has announced. just keep tunned with the college. "
5,SRM-Institute-of-Science-and-Technology-1,When will the VIT and SRM rank list come out?,7,2,7/2,No,Followed,2020-08-02,https://www.quora.com/When-will-the-VIT-and-SRM-rank-list-come-out,Most probably the rank will be out in this week or the next week of August. 
6,SRM-Institute-of-Science-and-Technology-1,What is the probability of my son to be selected in SRM University in CSE stream who have secured 80% marks in CBSE Board and NTA score 72.8 in Jan.2020?,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/What-is-the-probability-of-my-son-to-be-selected-in-SRM-University-in-CSE-stream-who-have-secured-80-marks-in-CBSE-Board-and-NTA-score-72-8-in-Jan-2020,"Actually srm University not that much good, nirf rank good , may they manipulate nirf rank, as amrutha, Anna unversity, bits pilani, iiit Hyderabad, etc are some good engineering college. Bits pilani not easy depends on entrance, after that anna University based on marks best in South India in nirf ranks, it is even better than some NITs, IIT s "
7,SRM-Institute-of-Science-and-Technology-1,What is the probability of my son to be selected in SRM University in CSE stream who have secured 80% marks in CBSE Board and NTA score 72.8 in Jan.2020?,1,2,1/2,No,Followed,2020-08-02,https://www.quora.com/What-is-the-probability-of-my-son-to-be-selected-in-SRM-University-in-CSE-stream-who-have-secured-80-marks-in-CBSE-Board-and-NTA-score-72-8-in-Jan-2020,"CSE seems difficult, you may have to research on more colleges because this time the density of students receiving 90%+ is very high. "
8,SRM-Institute-of-Science-and-Technology-1,"How are SRM, VIT, Manipal and CMI (Chennai Mathematical Institute) institutes for an M.Sc. in data science 2021 program?",1,1,1/1,No,Followed,2020-08-01,https://www.quora.com/How-are-SRM-VIT-Manipal-and-CMI-Chennai-Mathematical-Institute-institutes-for-an-M-Sc-in-data-science-2021-program,For Data Science go for CMI and ISI Kolkata only. These are the good institutes with top notch faculties. Don't rely on private universities. Hope it helps! 
9,SRM-Institute-of-Science-and-Technology-1,Can I get into any of the SRM campuses with 92% in boards? Also preferably CSE,0,2,0/2,No,Requested,2020-08-01,https://www.quora.com/Can-I-get-into-any-of-the-SRM-campuses-with-92-in-boards-Also-preferably-CSE,Yup! Firstly congratulations for gaining high percentage. With this percentage you can definitely get admission in SRM main campus in top branch as they are giving preference to board percentage this year due to pandemic COVID-19. So best of luck. 
