,id_review,rating,compound,Sentiment,pred,temp_pred,fin_pred,score
ChdDSUhNMG9nS0VJQ0FnSUQ4eTQ3QXpnRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUQ4cmFQNTdRRRAB,"Whether you are into indoor or outdoor sports, this college offers everything there is to promote extracurricular activities. This does not only help us be fit but also take a break from our regular academic schedules.",5.0,0.2313,Positive,3,4.0,4,3.4626
ChZDSUhNMG9nS0VJQ0FnSUQ4bGFibk1nEAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChdDSUhNMG9nS0VJQ0FnSUNNNWVqbjd3RRAB,"The worst educational institution I have ever come across. There is no academic ambiance. Faculty members are mediocre. They choose school heads who lack scholarship, vision and mission.They conduct quizzes to make the ineligible students eligible for writing their final semester exam, an injustice to the genuine students who attend the classes regularly and study sincerely. The latest news on the murder of the Ex-Vice Chancellor of this university can provide sufficient proof on how low this educational institution is.",1.0,-0.9325,Negative,1,1.0,1,1.135
ChdDSUhNMG9nS0VJQ0FnSUM4cThLNm5nRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUM4cmJmYUhREAE,,4.0,1.5,Positive,5,4.0,4,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4cVk3NDhnRRAB,"The moment I entered this university, I was taken aback with its green campus and infrastructure that matches international standards. I am so glad to be studying at a campus which has a student-friendly environment.",5.0,0.5949,Positive,4,4.5,5,4.1898
ChdDSUhNMG9nS0VJQ0FnSUM4cWZhc2d3RRAB,I am glad I did my MBA from Alliance University because it offered me an opportunity to pursue professional certificate programs. A good curriculum with value-added certifications isn't easy to find within the same college.,5.0,0.7426,Positive,4,4.5,5,4.4852
ChZDSUhNMG9nS0VJQ0FnSUM4NGJLd1ZnEAE,"Whether it is the student activity center, or even the spacious residence halls, Alliance University has built the perfect infrastructure to provide us with a unique learning and living experience.",5.0,0.5719,Positive,4,4.5,5,4.1438
ChdDSUhNMG9nS0VJQ0FnSUM4NGF5bzFRRRAB,"One thing that has stood out for me is Alliance University's faculty. Here, my professors are always willing to listen, understand, and provide solutions. Honestly, I do not have to think twice before talking to any professor whenever I have a doubt.",4.0,0.296,Positive,3,3.5,4,3.592
ChdDSUhNMG9nS0VJQ0FnSUM4NGNEd2tRRRAB,"I am currently pursuing an MBA from Alliance University, and I must say the industry-specific curriculum has improved my understanding of the real business problems. Plus, the field projects and company visits have given me clarity on how my expertise can be put into action.",5.0,0.4767,Positive,3,4.0,4,3.9534000000000002
ChdDSUhNMG9nS0VJQ0FnSUM4b1pmMmtnRRAB,"If you are planning to study at Alliance University, you are just one step away from studying at a top-ranked B-School in India. The campus, experienced faculty, hostels, and international exposure won’t disappoint you. I am happy I was a part of this business school.",5.0,0.25,Positive,3,4.0,4,3.5
ChdDSUhNMG9nS0VJQ0FnSUM4b2J2a3p3RRAB,The infrastructure of the college is just awesome. You will enjoy the campus a lot as they have many activities which you can do in and around the campus. The faculty is really very good and helpful with everything. I am very happy and satisfied with Alliance University.,5.0,0.9678,Positive,4,4.5,5,4.9356
ChdDSUhNMG9nS0VJQ0FnSUM4b2V2Rzl3RRAB,"I finished my MBA from Alliance University last year and enjoyed every moment spent here. I am thankful to all the experienced faculty members who have not only taught the curriculum, but also helped me learn how to apply my knowledge in real business situations.",5.0,0.5423,Positive,4,4.5,5,4.0846
ChZDSUhNMG9nS0VJQ0FnSUM4Z2Vxc0tnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4NG96SG9BRRAB,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSUM4X0txY1hnEAE,,1.0,1.5,Positive,5,1.0,1,6.0
ChdDSUhNMG9nS0VJQ0FnSUM4X0lDbWpRRRAB,Wonderful garden,5.0,0.5719,Positive,4,4.5,5,4.1438
ChdDSUhNMG9nS0VJQ0FnSUM4dktfQ3V3RRAB,Amazing,5.0,0.5859,Positive,4,4.5,5,4.1718
ChZDSUhNMG9nS0VJQ0FnSUM4cVBybmNnEAE,Don't take admission. go through their history . At the time of my admission they informed me They will assist for education loan . So I paid 20000 rs for admission in the last moment they informed me I have to submit 4 check leaves. I asked them if I am going through education loan then why you require check leaves. They told me this is procedure. until further information we will not deduct any money from your account. I informed them Education loan is not approving for me from any bank so I am going to drop the course. And now they deduct 30000 rs which is my only savings during this covid time.,1.0,-0.2732,Negative,2,1.5,1,2.4536
ChZDSUhNMG9nS0VJQ0FnSURjNVlyN093EAE,Excellent Infrastructure Competent faculty,5.0,0.7184,Positive,4,4.5,5,4.4368
ChZDSUhNMG9nS0VJQ0FnSURjNVlMYlVREAE,,5.0,1.5,Positive,5,5.0,5,6.0
ChZDSUhNMG9nS0VJQ0FnSURjNGVLOFlnEAE,,5.0,1.5,Positive,5,5.0,5,6.0
